,school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,nursery,internet,traveltime_avg,studytime_avg,failures_avg,famrel_avg,freetime_avg,goout_avg,Dalc_avg,Walc_avg,health_avg,absences_avg,guardian_combined,schoolsup_combined,famsup_combined,paid_combined,activities_combined,higher_combined,romantic_combined,G1_avg,G2_avg,G3_avg
0,GP,F,18,U,GT3,A,4,4,at_home,teacher,course,yes,no,2,2,0,4,3,4,1,1,3,5,mother,yes,no,no,no,yes,no,2.5,8.5,8.5
1,GP,F,17,U,GT3,T,1,1,at_home,other,course,no,yes,1,2,0,5,3,3,1,1,3,3,father,no,yes,no,no,yes,no,7.0,8.0,8.5
2,GP,F,15,U,LE3,T,1,1,at_home,other,other,yes,yes,1,2,2,4,3,2,2,3,3,8,mother,yes,no,Unknown,no,yes,no,9.5,10.5,11.0
3,GP,F,15,U,GT3,T,4,2,health,services,home,yes,yes,1,3,0,3,2,2,1,1,5,1,mother,no,yes,Unknown,yes,yes,yes,14.5,14.0,14.5
4,GP,F,16,U,GT3,T,3,3,other,other,home,yes,no,1,2,0,4,3,2,1,2,5,2,father,no,yes,Unknown,no,yes,no,8.5,11.5,11.5
5,GP,M,16,U,LE3,T,4,3,services,other,reputation,yes,yes,1,2,0,5,4,2,1,2,5,8,mother,no,yes,Unknown,yes,yes,no,13.5,13.5,14.0
6,GP,M,16,U,LE3,T,2,2,other,other,home,yes,yes,1,2,0,4,4,4,1,1,3,0,mother,no,no,no,no,yes,no,12.5,12.0,12.0
7,GP,F,17,U,GT3,A,4,4,other,teacher,home,yes,no,2,2,0,4,1,4,1,1,1,4,mother,yes,yes,no,no,yes,no,8.0,9.0,9.5
8,GP,M,15,U,LE3,A,3,2,services,other,home,yes,yes,1,2,0,4,2,2,1,1,1,0,mother,no,yes,Unknown,no,yes,no,15.5,17.0,18.0
9,GP,M,15,U,GT3,T,3,4,other,other,home,yes,yes,1,2,0,5,5,1,1,1,5,0,mother,no,yes,Unknown,yes,yes,no,13.0,13.5,14.0
10,GP,F,15,U,GT3,T,4,4,teacher,health,reputation,yes,yes,1,2,0,3,3,3,1,2,2,1,mother,no,yes,Unknown,no,yes,no,12.0,11.0,11.5
11,GP,F,15,U,GT3,T,2,1,services,other,reputation,yes,yes,3,3,0,5,2,2,1,1,4,2,father,no,yes,no,yes,yes,no,10.0,12.0,12.5
12,GP,M,15,U,LE3,T,4,4,health,services,course,yes,yes,1,1,0,4,3,3,1,3,5,1,father,no,yes,Unknown,yes,yes,no,13.0,13.5,13.0
13,GP,M,15,U,GT3,T,4,3,teacher,other,course,yes,yes,2,2,0,5,4,3,1,2,3,1,mother,no,yes,Unknown,no,yes,no,11.0,11.0,12.0
14,GP,M,15,U,GT3,A,2,2,other,other,home,yes,yes,1,3,0,4,5,2,1,1,3,0,other,no,yes,no,no,yes,yes,14.0,15.0,15.5
15,GP,F,16,U,GT3,T,4,4,health,other,home,yes,yes,1,1,0,4,4,4,1,2,2,5,mother,no,yes,no,no,yes,no,15.5,15.5,15.5
16,GP,F,16,U,GT3,T,4,4,services,services,reputation,yes,yes,1,3,0,3,2,3,1,2,2,8,mother,no,yes,Unknown,yes,yes,no,13.0,13.5,14.0
17,GP,F,16,U,GT3,T,3,3,other,other,reputation,yes,no,3,2,0,5,3,2,1,1,4,3,mother,yes,yes,no,yes,yes,no,10.5,12.0,12.0
18,GP,M,17,U,GT3,T,3,2,services,services,course,yes,yes,1,1,3,5,5,5,2,4,5,9,mother,no,yes,Unknown,yes,yes,no,7.0,6.5,6.0
19,GP,M,16,U,LE3,T,4,3,health,other,home,yes,yes,1,1,0,3,1,3,1,3,5,5,father,no,no,Unknown,yes,yes,no,10.0,11.0,11.0
20,GP,M,15,U,GT3,T,4,3,teacher,other,reputation,yes,yes,1,2,0,4,4,1,1,1,1,0,mother,no,no,no,no,yes,no,12.5,13.5,14.5
21,GP,M,15,U,GT3,T,4,4,health,health,other,yes,yes,1,1,0,5,4,2,1,1,5,0,father,no,yes,yes,no,yes,no,11.5,13.5,13.5
22,GP,M,16,U,LE3,T,4,2,teacher,other,course,yes,yes,1,2,0,4,5,1,1,3,5,1,mother,no,no,no,yes,yes,no,13.5,14.0,15.0
23,GP,M,16,U,LE3,T,2,2,other,other,reputation,yes,yes,2,2,0,5,4,4,2,4,5,1,mother,no,yes,no,yes,yes,no,11.5,11.5,11.0
24,GP,F,15,R,GT3,T,2,4,services,health,course,yes,yes,1,3,0,4,3,2,1,1,5,2,mother,yes,yes,Unknown,yes,yes,no,10.0,10.0,9.0
